==11333== NVPROF is profiling process 11333, command: ../bin/gpu
==11333== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11333== Profiling application: ../bin/gpu
==11333== Profiling result:
==11333== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(void)
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          1                          gld_transactions                                              Global Load Transactions      510026      510026      510026
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   22.314753   22.314753   22.314753
          1                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                          dram_utilization                                             Device Memory Utilization     Mid (5)     Mid (5)     Mid (5)
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.500020    0.500020    0.500020
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.70%       0.70%       0.70%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.16%       0.16%       0.16%
    Kernel: setup_kernel(curandStateXORWOW*, int)
          1                             sm_efficiency                                               Multiprocessor Activity      99.27%      99.27%      99.27%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.101040    0.101040    0.101040
          1                                       ipc                                                          Executed IPC    0.659045    0.659045    0.659045
          1                                issued_ipc                                                            Issued IPC    0.670557    0.670557    0.670557
          1                             inst_per_warp                                                 Instructions per warp  1.9044e+04  1.9044e+04  1.9044e+04
          1                         branch_efficiency                                                     Branch Efficiency      86.13%      86.13%      86.13%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      63.52%      63.52%      63.52%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      38.13%      38.13%      38.13%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000407    0.000407    0.000407
          1                    issue_slot_utilization                                                Issue Slot Utilization      11.33%      11.33%      11.33%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request   13.333333   13.333333   13.333333
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    7.356322    7.356322    7.356322
          1              gst_transactions_per_request                                 Global Store Transactions Per Request   32.000000   32.000000   32.000000
          1                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                                               Local Load Transactions         320         320         320
          1                  local_store_transactions                                              Local Store Transactions        1280        1280        1280
          1                          gst_transactions                                             Global Store Transactions        2304        2304        2304
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate      50.00%      50.00%      50.00%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  501.16MB/s  501.16MB/s  501.16MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  41.088MB/s  41.088MB/s  41.088MB/s
          1                            gld_throughput                                                Global Load Throughput  3.9153GB/s  3.9153GB/s  3.9153GB/s
          1                            gst_throughput                                               Global Store Throughput  184.90MB/s  184.90MB/s  184.90MB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  13.725GB/s  13.725GB/s  13.725GB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  25.680MB/s  25.680MB/s  25.680MB/s
          1                    local_store_throughput                                         Local Memory Store Throughput  102.72MB/s  102.72MB/s  102.72MB/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gst_efficiency                                        Global Memory Store Efficiency      22.22%      22.22%      22.22%
          1                    tex_cache_transactions                                            Unified Cache Transactions      175135      175135      175135
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Mid (4)     Mid (4)     Mid (4)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                    special_fu_utilization                                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                                 Instructions Executed      152354      152354      152354
