hive,x,y,fitness
0,0.000898,-0.007118,19425.738281
1,0.020655,0.001543,2330.954346
2,0.006297,-0.000733,24883.212891
3,-0.009663,-0.005528,8068.598145
4,0.016942,0.003979,3302.002930
5,0.017822,0.004518,2958.344482
6,0.013507,0.014435,2558.652832
7,0.001172,-0.000667,549702.000000
-1,0.001520,-0.000816,-1
hive,x,y,fitness
0,0.025780,0.023200,831.371643
1,-0.134187,0.145102,25.601225
2,-0.011195,-0.100243,98.290138
3,0.059783,-0.042141,186.921204
4,-0.134019,0.126697,29.400282
5,-0.040274,-0.083175,117.093964
6,-0.156367,-0.240178,12.174932
7,0.028431,-0.242455,16.780619
hive,x,y,fitness
0,0.002819,0.029037,1174.985840
1,0.023608,-0.054125,286.791138
2,-0.134019,0.126697,29.400282
3,-0.010475,-0.009330,5081.753418
4,0.100899,-0.038072,85.983833
5,0.035316,-0.128971,55.926315
6,0.034020,-0.034462,426.443512
7,0.016465,0.012372,2357.594238
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.003808,-0.023494,1765.349121
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,0.006619,0.054466,332.181915
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.003808,-0.023494,1765.349121
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.003808,-0.023494,1765.349121
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.024718,0.051184,309.517914
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.139015,-0.010233,51.467209
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,0.009454,0.009244,5720.114258
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.139015,-0.010233,51.467209
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.139015,-0.010233,51.467209
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.003808,-0.023494,1765.349121
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.139015,-0.010233,51.467209
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.139015,-0.010233,51.467209
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.024718,0.051184,309.517914
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.003808,-0.023494,1765.349121
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.139015,-0.010233,51.467209
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.082038,-0.115296,49.941628
4,-0.115153,0.053454,62.044655
5,0.003808,-0.023494,1765.349121
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.003808,-0.023494,1765.349121
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.003808,-0.023494,1765.349121
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
4,-0.115153,0.053454,62.044655
5,0.139015,-0.010233,51.467209
6,-0.009301,0.018500,2332.329590
7,0.000000,0.000000,0.000000
hive,x,y,fitness
0,-0.011383,-0.060576,263.228577
1,-0.026480,0.011158,1211.113770
2,-0.075137,-0.028490,154.865555
3,0.034020,-0.034462,426.443512
