==3470== NVPROF is profiling process 3470, command: ./../bin/gpu
==3470== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3470== Profiling application: ./../bin/gpu
==3470== Profiling result:
==3470== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(abc_info_s)
          1          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.02%       0.02%       0.02%
          1                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       1.34%       1.34%       1.34%
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.00%       0.00%       0.00%
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                                  L2 Read Transactions     1538239     1538239     1538239
          1                     l2_write_transactions                                                 L2 Write Transactions     2141007     2141007     2141007
          1                     local_memory_overhead                                                 Local Memory Overhead      28.18%      28.18%      28.18%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      49.63%      49.63%      49.63%
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  56.073MB/s  56.073MB/s  56.073MB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  208.90MB/s  208.90MB/s  208.90MB/s
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)      569760      569760      569760
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)     2122620     2122620     2122620
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  151.39MB/s  151.39MB/s  151.39MB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  210.71MB/s  210.71MB/s  210.71MB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  2.6242MB/s  2.6242MB/s  2.6242MB/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)       53330       53330       53330
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          1                          gld_transactions                                              Global Load Transactions      316916      316916      316916
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   19.864283   19.864283   19.864283
          1                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                          dram_utilization                                             Device Memory Utilization    High (9)    High (9)    High (9)
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.110271    0.110271    0.110271
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
    Kernel: setup_kernel(curandStateXORWOW*, int)
          1                             sm_efficiency                                               Multiprocessor Activity      99.98%      99.98%      99.98%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.015625    0.015625    0.015625
          1                                       ipc                                                          Executed IPC    0.047566    0.047566    0.047566
          1                                issued_ipc                                                            Issued IPC    0.047651    0.047651    0.047651
          1                             inst_per_warp                                                 Instructions per warp  3.1703e+05  3.1703e+05  3.1703e+05
          1                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      35.61%      35.61%      35.61%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      34.89%      34.89%      34.89%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000003    0.000003    0.000003
          1                    issue_slot_utilization                                                Issue Slot Utilization       1.19%       1.19%       1.19%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    5.286239    5.286239    5.286239
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    2.917976    2.917976    2.917976
          1              gst_transactions_per_request                                 Global Store Transactions Per Request   32.000000   32.000000   32.000000
          1                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                                               Local Load Transactions       28773       28773       28773
          1                  local_store_transactions                                              Local Store Transactions       12629       12629       12629
          1                          gst_transactions                                             Global Store Transactions         672         672         672
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate      43.42%      43.42%      43.42%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  2.4205MB/s  2.4205MB/s  2.4205MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  379.58KB/s  379.58KB/s  379.58KB/s
          1                            gld_throughput                                                Global Load Throughput  19.364MB/s  19.364MB/s  19.364MB/s
          1                            gst_throughput                                               Global Store Throughput  2.8307MB/s  2.8307MB/s  2.8307MB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  135.16MB/s  135.16MB/s  135.16MB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  121.20MB/s  121.20MB/s  121.20MB/s
          1                    local_store_throughput                                         Local Memory Store Throughput  53.197MB/s  53.197MB/s  53.197MB/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gst_efficiency                                        Global Memory Store Efficiency      13.10%      13.10%      13.10%
          1                    tex_cache_transactions                                            Unified Cache Transactions       32088       32088       32088
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                                 Instructions Executed      317028      317028      317028
          1                               inst_issued                                                   Instructions Issued      317029      317029      317029
          1                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          1                         shared_efficiency                                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                                inst_fp_32                                               FP Instructions(Single)           0           0           0
          1                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          1                              inst_integer                                                  Integer Instructions     1285534     1285534     1285534
          1                          inst_bit_convert                                              Bit-Convert Instructions      110355      110355      110355
          1                              inst_control                                             Control-Flow Instructions      185373      185373      185373
          1                        inst_compute_ld_st                                               Load/Store Instructions      155620      155620      155620
          1                                 inst_misc                                                     Misc Instructions     1802351     1802351     1802351
          1           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                           Issue Slots      317029      317029      317029
          1                                 cf_issued                                      Issued Control-Flow Instructions       21398       21398       21398
          1                               cf_executed                                    Executed Control-Flow Instructions       21398       21398       21398
          1                               ldst_issued                                        Issued Load/Store Instructions       46243       46243       46243
          1                             ldst_executed                                      Executed Load/Store Instructions       14053       14053       14053
          1                       atomic_transactions                                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                inst_executed_global_loads                              Warp level instructions for global loads        4256        4256        4256
